   ,CRADNO,QHAREAID,SEX,AGEGROUP,NUM,qu
192,22,440303001,1,40,22,440303
193,无,440303001,1,85,2,440303
194,34,440303001,1,60,8,440303
195,51,440303001,2,75,4,440303
196,无身,440303001,1,0,5,440303
197,21,440303001,1,10,6,440303
198,31,440303001,1,35,2,440303
199,21,440303001,2,80,2,440303
200,51,440303001,2,15,48,440303
201,无,440303001,2,60,16,440303
202,35,440303001,1,55,6,440303
203,21,440303001,1,35,11,440303
204,13,440303001,1,25,10,440303
205,23,440303001,1,35,23,440303
206,35,440303001,2,25,31,440303
207,15,440303001,1,45,7,440303
208,15,440303001,1,20,6,440303
209,13,440303001,2,0,1,440303
210,22,440303001,2,35,19,440303
211,无,440303001,2,70,7,440303
212,23,440303001,1,60,8,440303
213,13,440303001,1,80,2,440303
214,35,440303001,2,60,4,440303
215,37,440303001,2,5,7,440303
216,50,440303001,1,30,11,440303
217,62,440303001,2,65,4,440303
218,65,440303001,2,35,5,440303
219,33,440303001,2,70,1,440303
220,41,440303001,2,50,18,440303
221,22,440303001,2,5,8,440303
222,32,440303001,2,15,4,440303
223,33,440303001,2,55,4,440303
224,37,440303001,1,45,10,440303
225,33,440303001,2,5,5,440303
226,33,440303001,2,40,11,440303
227,32,440303001,2,55,6,440303
228,46,440303001,1,50,3,440303
229,13,440303001,1,1,4,440303
230,15,440303001,2,40,5,440303
231,？,440303001,2,1,5,440303
232,无,440303001,1,15,9,440303
233,34,440303001,2,10,7,440303
234,13,440303001,2,15,3,440303
235,13,440303001,1,60,27,440303
236,62,440303001,1,5,1,440303
237,61,440303001,1,65,4,440303
238,0,440303001,2,1,6,440303
239,53,440303001,1,1,4,440303
240,33,440303001,2,15,2,440303
241,33,440303001,1,50,6,440303
242,11,440303001,2,45,4,440303
243,53,440303001,1,40,6,440303
244,11,440303001,2,60,4,440303
245,11,440303001,1,35,1,440303
246,13,440303001,2,80,1,440303
247,21,440303001,1,20,8,440303
248,无,440303001,1,75,3,440303
249,20,440303001,2,0,1,440303
250,34,440303001,2,75,1,440303
251,不祥,440303001,1,1,1,440303
252,33,440303001,1,20,9,440303
253,62,440303001,1,55,1,440303
254,61,440303001,2,55,8,440303
255,62,440303001,1,75,3,440303
256,42,440303001,1,0,1,440303
257,37,440303001,1,55,4,440303
258,21,440303001,2,60,5,440303
259,11,440303001,2,1,1,440303
260,53,440303001,2,1,2,440303
261,未入,440303001,2,1,2,440303
262,37,440303001,1,15,2,440303
263,22,440303001,1,70,2,440303
264,23,440303001,1,80,1,440303
265,其它,440303001,2,1,1,440303
266,53,440303001,1,5,1,440303
267,32,440303001,2,5,2,440303
268,15,440303001,2,50,2,440303
269,14,440303001,1,1,1,440303
270,11,440303001,1,25,1,440303
271,元,440303001,2,75,1,440303
272,33,440303001,2,65,2,440303
273,无证,440303001,1,1,2,440303
274,53,440303001,2,55,2,440303
275,21,440303001,2,5,1,440303
276,63,440303001,2,25,1,440303
277,不祥,440303001,2,1,1,440303
278,21,440303001,2,15,1,440303
279,65,440303001,1,70,1,440303
280,44,440303007,1,5,273,440303
281,44,440303007,2,30,689,440303
282,51,440303007,2,50,56,440303
283,23,440303007,1,5,8,440303
284,44,440303007,2,5,211,440303
285,44,440303007,2,50,282,440303
286,13,440303007,2,50,4,440303
287,46,440303001,2,15,2,440303
288,35,440303007,1,40,73,440303
289,46,440303007,1,25,10,440303
290,37,440303007,2,20,13,440303
291,44,440303007,1,80,21,440303
292,45,440303007,2,25,91,440303
293,无,440303007,2,0,58,440303
294,22,440303007,2,30,28,440303
295,36,440303007,2,30,88,440303
296,15,440303007,2,55,3,440303
297,36,440303007,1,30,84,440303
298,0,440303001,1,1,3,440303
299,20,440303001,1,5,2,440303
300,35,440303001,2,75,1,440303
301,43,440303007,1,20,105,440303
302,50,440303007,2,25,33,440303
303,35,440303007,2,30,97,440303
304,无号,440303001,2,5,1,440303
305,32,440303007,1,30,30,440303
306,42,440303007,1,1,9,440303
307,42,440303007,2,40,108,440303
308,62,440303007,1,20,18,440303
309,33,440303007,2,45,18,440303
310,44,440303007,1,70,44,440303
311,。,440303007,2,0,7,440303
312,45,440303007,1,1,8,440303
313,15,440303007,2,1,2,440303
314,51,440303007,2,20,73,440303
315,51,440303007,2,10,9,440303
316,23,440303007,2,10,3,440303
317,44,440303007,2,80,47,440303
318,32,440303007,2,40,15,440303
319,52,440303001,1,70,1,440303
320,62,440303001,1,80,1,440303
321,43,440303007,1,45,103,440303
322,50,440303007,2,20,34,440303
323,46,440303007,1,40,8,440303
324,22,440303007,1,20,12,440303
325,64,440303001,1,50,1,440303
326,0,440303001,1,10,1,440303
327,36,440303007,1,65,13,440303
328,15,440303007,1,40,6,440303
329,19,440303001,1,15,2,440303
330,31,440303001,1,70,1,440303
331,37,440303007,2,40,10,440303
332,61,440303007,2,30,28,440303
333,41,440303007,1,30,71,440303
334,未说,440303001,1,1,1,440303
335,35,440303007,2,50,28,440303
336,37,440303007,2,35,17,440303
337,36,440303007,2,1,17,440303
338,31,440303007,2,30,4,440303
339,33,440303007,2,5,8,440303
340,深圳,440303007,1,1,4,440303
341,51,440303007,1,35,55,440303
342,34,440303007,2,60,11,440303
343,21,440303007,2,35,19,440303
344,42,440303007,1,10,19,440303
345,41,440303007,2,1,7,440303
346,32,440303007,2,30,14,440303
347,11,440303001,2,35,1,440303
348,没办,440303001,2,0,1,440303
349,19,440303001,2,60,1,440303
350,52,440303007,1,10,6,440303
351,62,440303007,1,25,9,440303
352,41,440303007,2,70,4,440303
353,14,440303007,1,65,3,440303
354,65,440303007,2,45,5,440303
355,65,440303001,2,1,1,440303
356,65,440303007,1,60,1,440303
357,22,440303007,2,1,2,440303
358,53,440303007,1,5,1,440303
359,，,440303007,1,1,6,440303
360,20,440303007,2,1,9,440303
361,37,440303007,1,60,6,440303
362,34,440303007,2,40,25,440303
363,31,440303007,2,5,2,440303
364,43,440303007,1,75,11,440303
365,34,440303007,1,40,26,440303
366,32,440303007,1,5,4,440303
367,46,440303007,2,1,3,440303
368,33,440303007,2,40,24,440303
369,62,440303007,2,40,5,440303
370,61,440303007,1,50,6,440303
371,61,440303007,1,80,2,440303
372,35,440303007,2,70,4,440303
373,33,440303007,1,30,11,440303
374,21,440303007,2,65,4,440303
375,21,440303007,2,80,2,440303
376,23,440303007,2,80,1,440303
377,12,440303007,2,50,1,440303
378,35,440303007,1,55,8,440303
379,37,440303007,2,1,4,440303
380,未入,440303007,1,1,2,440303
381,50,440303007,2,0,1,440303
382,11,440303007,1,75,3,440303
383,34,440303007,2,70,6,440303
384,46,440303007,2,60,7,440303
385,46,440303007,1,20,11,440303
386,13,440303007,1,1,2,440303
387,33,440303007,2,65,5,440303
388,15,440303007,2,30,11,440303
389,50,440303007,2,5,6,440303
390,23,440303007,1,15,8,440303
391,12,440303007,1,55,1,440303
392,22,440303007,2,50,10,440303
393,15,440303007,1,5,2,440303
394,65,440303007,2,30,4,440303
395,46,440303007,2,40,13,440303
396,42,440303007,2,0,1,440303
397,63,440303007,2,25,3,440303
398,没上,440303007,1,0,1,440303
399,21,440303007,2,1,1,440303
400,51,440303007,2,85,1,440303
401,无证,440303007,2,1,3,440303
402,11,440303007,1,65,1,440303
403,。,440303007,1,75,1,440303
404,45,440303007,1,70,3,440303
405,深圳,440303007,2,1,1,440303
406,11,440303007,2,55,2,440303
407,22,440303007,2,70,1,440303
408,61,440303007,1,70,5,440303
409,63,440303007,1,45,2,440303
410,64,440303007,1,35,2,440303
411,53,440303007,1,45,2,440303
412,13,440303007,2,0,1,440303
413,14,440303007,1,60,1,440303
414,19,440303007,1,60,1,440303
415,。,440303007,2,60,1,440303
416,42,440303007,2,85,2,440303
417,其它,440303007,1,5,1,440303
418,42,440303007,2,80,2,440303
419,22,440303007,1,65,7,440303
420,15,440303007,1,80,1,440303
421,21,440303007,1,80,3,440303
422,19,440303007,1,80,1,440303
423,34,440303007,2,10,4,440303
424,61,440303007,1,1,4,440303
425,20,440303007,1,15,2,440303
426,46,440303007,1,75,2,440303
427,0,440303007,2,10,1,440303
428,62,440303007,2,65,1,440303
429,41,440303005,1,20,42,440303
430,42,440303005,2,40,45,440303
431,21,440303005,2,20,6,440303
432,43,440303005,1,25,190,440303
433,o,440303005,2,0,3,440303
434,11,440303007,1,5,2,440303
435,34,440303005,1,15,3,440303
436,41,440303005,1,35,31,440303
437,61,440303005,1,20,14,440303
438,41,440303005,2,40,15,440303
439,52,440303005,2,30,8,440303
440,45,440303005,1,10,1,440303
441,44,440303005,1,65,33,440303
442,36,440303005,1,50,9,440303
443,23,440303005,1,10,3,440303
444,44,440303005,1,10,67,440303
445,14,440303005,1,20,8,440303
446,22,440303005,2,30,8,440303
447,33,440303005,1,25,13,440303
448,41,440303005,1,5,5,440303
449,21,440303005,1,1,2,440303
450,21,440303005,2,65,2,440303
451,36,440303005,2,50,15,440303
452,41,440303005,2,45,19,440303
453,深圳,440303007,2,65,1,440303
454,35,440303005,2,20,8,440303
455,45,440303005,2,20,61,440303
456,37,440303005,1,25,30,440303
457,46,440303005,1,25,8,440303
458,，,440303007,2,0,1,440303
459,1,440303005,2,1,2,440303
460,36,440303005,2,40,30,440303
461,21,440303005,1,40,6,440303
462,52,440303007,1,70,2,440303
463,22,440303005,2,10,1,440303
464,43,440303005,2,70,6,440303
465,13,440303007,2,1,2,440303
466,64,440303005,2,60,1,440303
467,51,440303005,1,70,2,440303
468,50,440303005,1,10,3,440303
469,36,440303005,2,35,24,440303
470,22,440303005,1,35,8,440303
471,36,440303005,2,30,64,440303
472,O,440303005,2,1,2,440303
473,无,440303005,2,0,54,440303
474,43,440303005,2,65,14,440303
475,22,440303005,1,40,6,440303
476,61,440303005,1,35,8,440303
477,51,440303005,1,30,33,440303
478,65,440303005,2,20,5,440303
479,19,440303005,2,30,3,440303
480,无,440303007,1,70,1,440303
481,22,440303005,2,50,2,440303
482,61,440303005,2,35,5,440303
483,。,440303007,2,85,1,440303
484,32,440303005,1,20,9,440303
485,33,440303005,2,45,5,440303
486,46,440303005,2,70,1,440303
487,46,440303005,1,30,10,440303
488,62,440303005,1,20,4,440303
489,43,440303005,2,10,6,440303
490,33,440303005,1,30,11,440303
491,35,440303005,2,35,8,440303
492,53,440303005,1,30,3,440303
493,21,440303005,2,30,7,440303
494,不详,440303005,2,1,2,440303
495,37,440303005,1,45,6,440303
496,37,440303005,2,20,3,440303
497,13,440303005,1,15,3,440303
498,22,440303005,1,45,2,440303
499,19,440303005,1,75,1,440303
500,23,440303005,1,1,2,440303
501,22,440303005,2,55,3,440303
502,23,440303005,2,70,2,440303
503,52,440303005,1,40,3,440303
504,35,440303005,2,10,1,440303
505,—,440303005,2,5,1,440303
506,23,440303005,2,40,8,440303
507,43,440303005,1,10,10,440303
508,无身,440303005,2,1,1,440303
509,14,440303005,2,55,1,440303
510,61,440303005,1,1,2,440303
511,15,440303005,1,65,1,440303
512,65,440303005,1,55,1,440303
513,20,440303005,2,0,3,440303
514,50,440303005,2,30,6,440303
515,11,440303005,1,25,1,440303
516,31,440303005,2,45,1,440303
517,32,440303005,1,60,3,440303
518,19,440303005,2,85,2,440303
519,12,440303005,1,65,1,440303
520,62,440303005,1,0,1,440303
521,。。,440303005,2,0,1,440303
522,36,440303005,1,75,1,440303
523,15,440303005,1,40,2,440303
524,—,440303005,2,1,2,440303
525,46,440303005,1,45,1,440303
526,22,440303005,1,1,1,440303
527,15,440303005,1,55,1,440303
528,21,440303005,1,5,1,440303
529,36,440303005,2,80,2,440303
530,64,440303005,1,35,1,440303
531,53,440303005,1,65,1,440303
532,45,440303003,1,20,153,440303
533,41,440303003,2,25,211,440303
534,43,440303003,1,5,26,440303
535,42,440303003,2,35,116,440303
536,无,440303003,1,0,51,440303
537,43,440303003,2,35,135,440303
538,22,440303003,2,55,8,440303
539,35,440303003,1,40,18,440303
540,44,440303003,2,5,79,440303
541,33,440303003,2,20,15,440303
542,45,440303003,1,15,93,440303
543,41,440303003,2,45,35,440303
544,23,440303003,2,50,23,440303
545,45,440303003,1,35,51,440303
546,51,440303003,1,20,98,440303
547,50,440303003,1,20,41,440303
548,46,440303003,1,20,38,440303
549,51,440303003,1,30,92,440303
550,22,440303003,2,10,2,440303
551,12,440303005,1,35,1,440303
552,11,440303005,1,65,1,440303
553,61,440303003,1,40,27,440303
554,41,440303003,1,45,49,440303
555,44,440303003,1,60,62,440303
556,61,440303003,2,15,12,440303
557,52,440303003,1,10,1,440303
558,43,440303003,1,45,81,440303
559,45,440303003,2,20,144,440303
560,45,440303003,2,15,63,440303
561,44,440303003,1,65,41,440303
562,36,440303003,1,50,40,440303
563,34,440303003,1,35,37,440303
564,14,440303003,1,10,2,440303
565,36,440303003,1,15,67,440303
566,43,440303003,2,60,29,440303
567,63,440303003,2,55,1,440303
568,\,440303003,1,0,1,440303
569,35,440303003,1,45,16,440303
570,42,440303003,1,75,7,440303
571,15,440303005,1,50,1,440303
572,53,440303003,2,20,20,440303
573,61,440303003,2,60,7,440303
574,22,440303003,2,25,45,440303
575,53,440303003,1,40,12,440303
576,42,440303003,1,65,9,440303
577,36,440303003,2,60,17,440303
578,23,440303003,2,40,21,440303
579,37,440303003,2,50,11,440303
580,62,440303003,1,25,18,440303
581,37,440303003,1,55,7,440303
582,37,440303005,1,15,1,440303
583,51,440303003,1,5,6,440303
584,52,440303003,1,15,12,440303
585,33,440303003,1,10,2,440303
586,21,440303003,1,30,25,440303
587,50,440303003,1,0,3,440303
588,32,440303003,2,45,17,440303
589,41,440303003,2,20,128,440303
590,51,440303005,2,75,2,440303
591,64,440303003,2,35,4,440303
592,63,440303005,1,15,1,440303
593,63,440303003,1,50,2,440303
594,35,440303003,2,35,10,440303
595,52,440303003,1,30,16,440303
596,53,440303003,1,35,5,440303
597,53,440303003,1,25,28,440303
598,34,440303003,2,15,7,440303
599,31,440303003,1,75,1,440303
600,52,440303003,2,35,8,440303
601,无,440303003,1,70,2,440303
602,15,440303003,2,40,3,440303
603,37,440303003,1,1,2,440303
604,23,440303003,2,5,2,440303
605,14,440303003,2,20,12,440303
606,33,440303003,1,30,8,440303
607,51,440303003,2,65,6,440303
608,11,440303003,1,35,5,440303
609,41,440303003,1,55,17,440303
610,52,440303003,2,75,1,440303
611,64,440303003,2,30,4,440303
612,13,440303003,1,35,8,440303
613,32,440303003,1,5,6,440303
614,62,440303003,2,15,5,440303
615,14,440303003,1,55,3,440303
616,46,440303003,1,10,2,440303
617,34,440303003,1,1,4,440303
618,62,440303003,2,10,1,440303
619,43,440303003,1,70,5,440303
620,1,440303003,1,60,1,440303
621,1,440303003,2,60,2,440303
622,44,440303003,1,85,1,440303
623,暂无,440303003,1,1,3,440303
624,11,440303003,1,30,6,440303
625,13,440303003,2,70,1,440303
626,35,440303003,1,5,5,440303
627,23,440303003,2,65,5,440303
628,41,440303003,1,70,2,440303
629,，,440303003,1,1,1,440303
630,19,440303003,2,40,1,440303
631,13,440303003,1,45,5,440303
632,1,440303003,2,0,2,440303
633,61,440303003,1,65,3,440303
634,50,440303003,1,1,5,440303
635,11,440303003,2,65,1,440303
636,无,440303003,1,80,1,440303
637,19,440303003,1,75,1,440303
638,61,440303003,2,75,2,440303
639,53,440303003,2,70,1,440303
640,52,440303003,2,10,1,440303
641,32,440303003,1,1,2,440303
642,52,440303003,2,60,4,440303
643,62,440303003,1,5,1,440303
644,54,440303003,1,35,1,440303
645,12,440303003,2,50,2,440303
646,15,440303003,2,45,1,440303
647,15,440303003,1,55,2,440303
648,不祥,440303003,1,10,1,440303
649,0,440303003,1,35,1,440303
650,65,440303003,1,50,1,440303
651,33,440303003,1,65,1,440303
652,"无
",440303003,2,10,1,440303
653,不祥,440303003,2,10,1,440303
654,41,440303003,1,0,1,440303
655,62,440303003,2,50,2,440303
656,32,440303003,2,80,1,440303
657,20,440303003,2,0,1,440303
658,44,440303004,1,1,432,440303
659,23,440303004,1,20,25,440303
660,52,440303004,2,20,52,440303
661,51,440303004,1,40,98,440303
662,34,440303004,2,35,19,440303
663,45,440303004,2,15,91,440303
664,34,440303004,1,30,26,440303
665,52,440303004,1,70,2,440303
666,42,440303004,1,50,57,440303
667,46,440303004,2,30,17,440303
668,32,440303004,1,10,1,440303
669,42,440303004,1,5,20,440303
670,41,440303004,2,35,39,440303
671,21,440303004,2,35,10,440303
672,13,440303004,2,30,5,440303
673,42,440303004,1,45,78,440303
674,0,440303004,1,10,2,440303
675,36,440303004,1,55,57,440303
676,无,440303004,2,10,8,440303
677,42,440303004,2,55,25,440303
678,35,440303004,1,20,30,440303
679,42,440303004,2,1,22,440303
680,33,440303004,2,15,4,440303
681,46,440303004,1,30,9,440303
682,34,440303004,1,40,25,440303
683,35,440303004,2,20,22,440303
684,46,440303004,2,15,12,440303
685,15,440303004,1,45,1,440303
686,51,440303004,2,50,62,440303
687,22,440303004,2,25,19,440303
688,45,440303004,1,45,19,440303
689,23,440303004,1,65,2,440303
690,19,440303004,1,50,7,440303
691,无,440303004,2,1,124,440303
692,32,440303004,2,65,2,440303
693,41,440303004,1,5,16,440303
694,23,440303004,1,60,7,440303
695,其它,440303004,2,1,15,440303
696,45,440303004,2,5,8,440303
697,46,440303004,1,50,4,440303
698,-,440303003,2,0,1,440303
699,12,440303003,2,60,2,440303
700,61,440303004,2,35,11,440303
701,37,440303004,1,50,6,440303
702,43,440303004,1,55,14,440303
703,22,440303004,1,70,1,440303
704,53,440303004,2,35,4,440303
705,33,440303004,1,30,16,440303
706,63,440303004,2,55,1,440303
707,32,440303004,1,15,7,440303
708,19,440303004,1,20,11,440303
709,51,440303004,1,65,6,440303
710,其他,440303004,2,1,9,440303
711,23,440303004,1,1,5,440303
712,42,440303004,2,10,10,440303
713,52,440303004,1,15,18,440303
714,无证,440303004,2,0,3,440303
715,37,440303004,2,35,8,440303
716,52,440303004,2,50,9,440303
717,33,440303004,1,70,1,440303
718,36,440303004,2,10,5,440303
719,64,440303004,1,50,1,440303
720,64,440303004,2,25,1,440303
721,34,440303004,2,5,2,440303
722,35,440303004,2,10,2,440303
723,不配,440303003,1,75,1,440303
724,14,440303003,2,55,1,440303
725,22,440303004,2,55,9,440303
726,20,440303004,2,5,2,440303
727,46,440303004,1,40,3,440303
728,22,440303004,1,1,3,440303
729,61,440303004,1,15,9,440303
730,34,440303004,1,1,4,440303
731,64,440303004,1,45,1,440303
732,11,440303004,1,45,2,440303
733,43,440303004,2,5,10,440303
734,21,440303004,2,50,4,440303
735,其他,440303004,2,70,1,440303
736,19,440303004,1,55,8,440303
737,12,440303004,2,30,1,440303
738,36,440303004,1,65,8,440303
739,12,440303004,1,50,1,440303
740,33,440303004,1,15,5,440303
741,42,440303004,1,10,7,440303
742,AA,440303004,2,1,1,440303
743,52,440303004,1,50,3,440303
744,52,440303004,2,45,4,440303
745,52,440303004,2,65,1,440303
746,其宅,440303004,1,1,1,440303
747,50,440303004,1,55,1,440303
748,13,440303004,1,65,1,440303
749,34,440303004,2,75,1,440303
750,33,440303004,1,10,6,440303
751,11,440303004,1,1,2,440303
752,12,440303004,1,45,2,440303
753,61,440303004,2,75,3,440303
754,35,440303004,1,55,3,440303
755,13,440303004,1,50,2,440303
756,42,440303010,1,35,174,440303
757,34,440303010,1,25,45,440303
758,44,440303010,1,25,610,440303
759,无,440303010,2,15,16,440303
760,15,440303010,2,40,11,440303
761,34,440303004,2,10,1,440303
762,51,440303010,2,45,127,440303
763,21,440303010,1,35,19,440303
764,51,440303010,1,30,94,440303
765,51,440303010,2,25,114,440303
766,14,440303010,2,60,5,440303
767,22,440303004,2,80,1,440303
768,43,440303010,2,40,106,440303
769,61,440303004,1,80,1,440303
770,21,440303010,1,80,1,440303
771,42,440303010,1,20,125,440303
772,42,440303010,1,60,37,440303
773,61,440303010,1,5,1,440303
774,23,440303004,1,70,1,440303
775,61,440303010,1,45,16,440303
776,43,440303010,2,65,25,440303
777,63,440303010,1,20,2,440303
778,32,440303010,1,70,3,440303
779,52,440303010,2,20,31,440303
780,41,440303010,1,35,67,440303
781,0,440303004,2,5,1,440303
782,42,440303010,2,50,64,440303
783,41,440303010,2,10,11,440303
784,36,440303010,2,15,45,440303
785,身份,440303004,1,10,1,440303
786,22,440303010,2,50,12,440303
787,42,440303010,1,80,6,440303
788,13,440303004,2,80,1,440303
789,11,440303004,2,60,1,440303
790,64,440303004,2,55,1,440303
791,52,440303010,1,35,13,440303
792,36,440303010,1,5,42,440303
793,43,440303010,1,10,19,440303
794,15,440303010,1,30,7,440303
795,35,440303010,1,40,17,440303
796,43,440303004,1,0,1,440303
797,34,440303010,1,1,13,440303
798,15,440303010,1,45,11,440303
799,51,440303010,2,20,103,440303
800,23,440303010,1,35,35,440303
801,23,440303010,1,25,36,440303
802,52,440303010,1,15,14,440303
803,43,440303010,2,10,12,440303
804,35,440303010,2,20,15,440303
805,44,440303010,1,65,43,440303
806,36,440303010,2,10,18,440303
807,李玉,440303010,2,1,1,440303
808,12,440303010,2,35,1,440303
809,未提,440303010,2,0,3,440303
810,44,440303010,2,80,12,440303
811,11,440303010,1,1,6,440303
812,13,440303010,1,55,1,440303
813,61,440303010,1,60,3,440303
814,22,440303010,2,30,19,440303
815,44,440303010,2,75,26,440303
816,，,440303010,2,5,8,440303
817,45,440303010,1,40,27,440303
818,34,440303010,2,55,8,440303
819,不详,440303010,1,10,4,440303
820,62,440303010,2,5,3,440303
821,34,440303010,1,40,36,440303
