date,district_code,Record_Count
2012-07-09,440306,2
2012-07-10,440305,1
2012-07-11,440306,1
2012-07-11,440307,1
2012-07-12,440305,1
2012-07-15,440304,1
2012-07-15,440309,1
2012-07-15,441901,1
2012-07-18,440306,1
2012-07-18,440309,1
2012-07-19,440309,1
2012-07-20,440306,2
2012-07-21,440306,2
2012-07-23,440307,1
2012-07-24,440306,1
2012-07-25,440307,1
2012-07-27,440306,2
2012-07-28,440306,1
2012-08-02,440303,1
2012-08-02,440306,1
2012-08-04,440304,1
2012-08-05,440306,1
2012-08-10,440306,2
2012-08-13,440303,1
2012-08-14,440306,1
2012-08-15,440303,1
2012-08-17,440309,1
2012-08-18,440306,2
2012-08-22,440306,1
2012-08-24,440306,1
2012-08-27,440306,1
2012-08-28,440306,1
2012-08-29,440304,1
2012-08-31,440306,1
2012-09-01,440306,1
2012-09-02,441901,1
2012-09-03,440306,1
2012-09-07,440303,1
2012-09-07,440306,1
2012-09-10,440306,1
2012-09-13,440305,1
2012-09-16,440306,1
2012-09-17,419999,1
2012-09-17,440306,1
2012-09-20,440305,1
2012-09-23,440307,1
2012-09-25,440303,1
2012-10-17,440306,1
2012-10-24,440306,1
2012-10-25,440305,1
2012-10-25,440306,1
2012-10-27,440306,1
2012-11-05,440306,1
2012-11-08,440306,1
2012-11-13,440305,1
2012-11-14,440306,1
2012-11-20,440309,1
2012-11-30,440304,1
2012-12-13,440310,1
2012-12-18,440307,1
2012-12-25,440306,1
2012-12-28,440306,1
2012-12-29,440304,1
2013-01-04,440304,1
2013-01-07,440303,1
2013-01-08,440304,1
2013-01-09,440311,1
2013-01-11,440307,1
2013-01-13,440306,1
2013-01-14,440306,1
2013-01-17,440311,1
2013-01-25,440306,1
2013-01-25,440311,1
2013-01-26,440303,1
2013-02-01,440306,1
2013-02-07,440306,1
2013-02-08,440306,1
2013-02-10,440305,1
2013-02-11,440304,1
2013-02-22,440306,2
2013-02-26,440306,1
2013-03-04,440306,2
2013-03-04,440307,1
2013-03-05,440307,3
2013-03-06,440305,1
2013-03-06,440307,2
2013-03-07,440307,1
2013-03-08,440307,1
2013-03-09,440307,1
2013-03-10,440307,1
2013-03-11,440307,1
2013-03-12,440306,1
2013-03-13,440307,2
2013-03-14,440304,1
2013-03-14,440307,1
2013-03-16,440306,2
2013-03-16,440307,2
2013-03-18,440307,2
2013-03-19,440304,2
2013-03-20,440307,4
2013-03-20,510903,1
2013-03-21,440303,1
2013-03-21,440306,1
2013-03-21,440307,2
2013-03-21,441901,1
2013-03-22,440304,1
2013-03-22,440305,1
2013-03-22,440306,1
2013-03-22,440307,2
2013-03-23,440306,1
2013-03-24,440303,1
2013-03-24,440304,1
2013-03-24,440305,1
2013-03-24,440306,1
2013-03-25,440304,1
2013-03-25,441901,1
2013-03-26,440304,1
2013-03-27,440304,2
2013-03-27,440305,3
2013-03-27,440306,1
2013-03-28,440305,1
2013-03-28,440307,1
2013-03-29,440305,1
2013-03-29,440310,1
2013-03-30,440303,1
2013-03-30,440306,1
2013-03-31,440304,1
2013-03-31,440311,1
2013-04-01,440305,2
2013-04-01,440306,1
2013-04-02,440304,1
2013-04-03,440306,2
2013-04-03,440307,2
2013-04-04,440305,1
2013-04-04,440307,2
2013-04-04,440310,1
2013-04-06,440306,1
2013-04-06,440308,1
2013-04-07,440304,1
2013-04-07,440306,2
2013-04-08,440305,1
2013-04-08,440306,1
2013-04-09,440305,1
2013-04-09,440307,2
2013-04-09,440311,1
2013-04-10,440303,1
2013-04-10,440304,1
2013-04-10,440305,1
2013-04-10,440309,1
2013-04-11,440305,1
2013-04-11,440306,3
2013-04-12,440304,1
2013-04-13,440305,1
2013-04-14,440305,2
2013-04-14,440306,1
2013-04-14,440309,1
2013-04-15,440305,1
2013-04-15,440307,2
2013-04-15,440308,1
2013-04-15,440311,2
2013-04-16,440305,1
2013-04-16,441901,1
2013-04-18,440306,1
2013-04-19,440304,1
2013-04-19,440307,1
2013-04-19,441901,1
2013-04-20,440305,1
2013-04-20,440306,1
2013-04-21,440306,2
2013-04-21,440311,1
2013-04-22,440306,1
2013-04-25,440311,1
2013-04-26,440306,1
2013-04-28,440307,1
2013-04-28,440311,1
2013-04-29,440306,1
2013-05-01,440303,1
2013-05-01,440305,2
2013-05-04,440305,1
2013-05-05,440306,1
2013-05-06,440306,1
2013-05-07,440305,2
2013-05-08,440309,1
2013-05-09,440307,1
2013-05-10,440306,1
2013-05-11,440307,1
2013-05-11,440310,1
2013-05-12,440304,1
2013-05-12,440306,1
2013-05-12,440310,1
2013-05-13,440304,1
2013-05-13,440306,2
2013-05-14,440304,1
2013-05-14,440305,1
2013-05-14,440306,2
2013-05-17,440303,1
2013-05-17,440306,1
2013-05-18,440304,1
2013-05-18,440306,1
2013-05-22,440303,1
2013-05-22,440306,1
2013-05-25,440306,1
2013-05-27,440306,3
2013-05-29,440306,1
2013-05-30,440306,1
2013-05-31,440308,1
2013-06-02,440306,1
2013-06-03,440306,1
2013-06-05,440306,1
2013-06-06,440304,1
2013-06-06,440306,1
2013-06-10,440304,1
2013-06-11,440306,1
2013-06-12,440306,2
2013-06-14,440306,3
2013-06-15,440307,1
2013-06-16,440306,1
2013-06-18,440306,2
2013-06-19,440306,1
2013-06-20,440304,2
2013-06-20,440306,3
2013-06-21,440306,2
2013-06-23,440304,1
2013-06-25,440306,2
2013-06-26,440306,1
2013-06-26,440310,1
2013-06-27,440306,1
2013-06-29,440305,1
2013-06-29,440307,1
2013-07-01,440306,1
2013-07-03,440307,1
2013-07-04,440310,1
